PULMEMBOLUS,INTUBATION,EXPCO2,PAP,MINVOL,KINKEDTUBE,VENTALV,SHUNT,VENTLUNG,ARTCO2
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,ESOPHAGEAL,NORMAL,NORMAL,LOW,False,HIGH,NORMAL,NORMAL,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH
False,NORMAL,LOW,LOW,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,ESOPHAGEAL,LOW,NORMAL,LOW,False,NORMAL,NORMAL,ZERO,NORMAL
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,NORMAL,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,ESOPHAGEAL,LOW,NORMAL,LOW,False,LOW,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH
False,NORMAL,LOW,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,HIGH,NORMAL,LOW,False,LOW,NORMAL,HIGH,HIGH
False,NORMAL,LOW,NORMAL,ZERO,True,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,HIGH,NORMAL,LOW,False,LOW,NORMAL,HIGH,HIGH
True,NORMAL,LOW,HIGH,ZERO,False,ZERO,HIGH,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,ZERO,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,ZERO,NORMAL,ZERO,False,HIGH,NORMAL,ZERO,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,HIGH,NORMAL,LOW,False,ZERO,NORMAL,HIGH,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,ESOPHAGEAL,NORMAL,NORMAL,HIGH,False,ZERO,NORMAL,LOW,HIGH
False,NORMAL,NORMAL,NORMAL,HIGH,False,ZERO,NORMAL,LOW,HIGH
False,NORMAL,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,True,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,HIGH,NORMAL,LOW,False,ZERO,HIGH,HIGH,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,ZERO,NORMAL,HIGH,False,HIGH,NORMAL,LOW,NORMAL
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,NORMAL,NORMAL,ZERO,NORMAL
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,HIGH,NORMAL,LOW,False,LOW,NORMAL,HIGH,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,ESOPHAGEAL,LOW,NORMAL,LOW,False,LOW,NORMAL,ZERO,HIGH
False,NORMAL,NORMAL,NORMAL,LOW,False,NORMAL,NORMAL,NORMAL,NORMAL
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,ZERO,NORMAL,ZERO,False,HIGH,NORMAL,ZERO,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,True,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,NORMAL,NORMAL,ZERO,NORMAL
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,ONESIDED,LOW,HIGH,NORMAL,False,NORMAL,HIGH,ZERO,NORMAL
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,True,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,True,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,HIGH,NORMAL,LOW,False,LOW,NORMAL,HIGH,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,NORMAL,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,ONESIDED,NORMAL,NORMAL,ZERO,False,LOW,HIGH,LOW,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,True,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,ZERO,NORMAL,HIGH,False,HIGH,NORMAL,LOW,NORMAL
False,ONESIDED,LOW,NORMAL,ZERO,False,LOW,HIGH,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,NORMAL
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,ONESIDED,LOW,NORMAL,NORMAL,False,NORMAL,HIGH,ZERO,NORMAL
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH
False,NORMAL,HIGH,NORMAL,LOW,False,LOW,NORMAL,HIGH,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,ESOPHAGEAL,LOW,NORMAL,LOW,False,LOW,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
True,NORMAL,LOW,HIGH,HIGH,False,HIGH,HIGH,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,ONESIDED,NORMAL,NORMAL,ZERO,False,LOW,HIGH,LOW,HIGH
False,NORMAL,HIGH,NORMAL,LOW,False,LOW,NORMAL,HIGH,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,HIGH,NORMAL,LOW,False,LOW,NORMAL,HIGH,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,LOW,ZERO,False,NORMAL,NORMAL,ZERO,NORMAL
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,True,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,NORMAL,NORMAL,ZERO,False,NORMAL,NORMAL,NORMAL,NORMAL
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,HIGH,NORMAL,LOW,False,LOW,NORMAL,HIGH,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,LOW,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,True,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,NORMAL,NORMAL,ZERO,False,NORMAL,NORMAL,NORMAL,NORMAL
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,ESOPHAGEAL,LOW,NORMAL,LOW,False,LOW,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,True,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,ESOPHAGEAL,NORMAL,HIGH,HIGH,False,ZERO,NORMAL,LOW,HIGH
False,NORMAL,HIGH,LOW,LOW,False,LOW,NORMAL,HIGH,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,LOW,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,HIGH,NORMAL,LOW,LOW
False,ONESIDED,NORMAL,NORMAL,LOW,False,LOW,NORMAL,LOW,HIGH
False,NORMAL,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,ZERO,NORMAL,HIGH,False,HIGH,NORMAL,LOW,NORMAL
False,NORMAL,ZERO,NORMAL,HIGH,False,HIGH,NORMAL,LOW,NORMAL
False,NORMAL,LOW,NORMAL,ZERO,False,NORMAL,NORMAL,ZERO,NORMAL
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,LOW,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH
False,ONESIDED,LOW,NORMAL,NORMAL,False,NORMAL,HIGH,ZERO,NORMAL
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,HIGH,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,ONESIDED,LOW,NORMAL,NORMAL,False,NORMAL,HIGH,ZERO,NORMAL
False,NORMAL,LOW,NORMAL,ZERO,True,ZERO,NORMAL,ZERO,HIGH
False,ONESIDED,NORMAL,NORMAL,ZERO,False,LOW,HIGH,LOW,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,ZERO,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,HIGH,False,ZERO,NORMAL,ZERO,HIGH
False,ESOPHAGEAL,LOW,NORMAL,LOW,False,LOW,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,True,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,ESOPHAGEAL,LOW,NORMAL,LOW,False,LOW,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH
False,NORMAL,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,ZERO,NORMAL,HIGH,False,HIGH,HIGH,LOW,NORMAL
False,NORMAL,LOW,LOW,HIGH,False,HIGH,NORMAL,LOW,LOW
True,NORMAL,LOW,HIGH,ZERO,False,ZERO,HIGH,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,ESOPHAGEAL,NORMAL,LOW,ZERO,False,ZERO,NORMAL,LOW,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,HIGH,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,True,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,ONESIDED,NORMAL,NORMAL,LOW,False,LOW,HIGH,LOW,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,ONESIDED,NORMAL,NORMAL,ZERO,False,LOW,HIGH,LOW,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,NORMAL,NORMAL,ZERO,NORMAL
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,LOW,HIGH,False,HIGH,NORMAL,LOW,LOW
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,ONESIDED,NORMAL,NORMAL,LOW,False,LOW,HIGH,LOW,HIGH
False,NORMAL,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,ONESIDED,NORMAL,NORMAL,ZERO,False,LOW,HIGH,LOW,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH
False,NORMAL,LOW,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW
