INSUFFANESTH,LVFAILURE,LVEDVOLUME,CO,PCWP,KINKEDTUBE,CVP,PRESS,STROKEVOLUME,BP,HISTORY
False,False,NORMAL,NORMAL,LOW,False,NORMAL,LOW,NORMAL,NORMAL,False
False,False,HIGH,LOW,HIGH,False,NORMAL,LOW,LOW,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,NORMAL,LOW,False
False,False,HIGH,LOW,HIGH,False,NORMAL,NORMAL,LOW,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,True,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,HIGH,HIGH,HIGH,LOW,False
True,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,LOW,False
True,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,HIGH,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,NORMAL,NORMAL,False
False,False,NORMAL,NORMAL,NORMAL,False,LOW,NORMAL,NORMAL,NORMAL,False
True,False,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,NORMAL,NORMAL,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,NORMAL,NORMAL,False
False,False,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,NORMAL,HIGH,False
True,False,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,NORMAL,NORMAL,True,NORMAL,HIGH,NORMAL,NORMAL,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,HIGH,NORMAL,HIGH,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,False,LOW,HIGH,LOW,False,LOW,LOW,NORMAL,LOW,False
False,False,HIGH,NORMAL,HIGH,False,HIGH,ZERO,NORMAL,NORMAL,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,NORMAL,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,NORMAL,NORMAL,False
False,False,HIGH,HIGH,NORMAL,False,HIGH,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,LOW,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,LOW,NORMAL,HIGH,False
True,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,HIGH,NORMAL,HIGH,False,HIGH,LOW,NORMAL,LOW,False
False,False,HIGH,LOW,HIGH,False,HIGH,NORMAL,LOW,LOW,False
False,False,LOW,NORMAL,LOW,False,LOW,HIGH,NORMAL,LOW,False
False,True,LOW,NORMAL,NORMAL,False,LOW,NORMAL,LOW,NORMAL,True
False,True,LOW,HIGH,LOW,False,LOW,HIGH,NORMAL,HIGH,True
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
True,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,LOW,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,HIGH,LOW,HIGH,False,HIGH,HIGH,LOW,NORMAL,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,LOW,False
False,False,NORMAL,NORMAL,NORMAL,False,LOW,HIGH,NORMAL,NORMAL,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,True,LOW,LOW,LOW,False,NORMAL,LOW,LOW,LOW,True
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,False,HIGH,LOW,HIGH,False,HIGH,HIGH,LOW,LOW,False
True,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,NORMAL,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,NORMAL,False
False,False,HIGH,HIGH,HIGH,False,HIGH,HIGH,NORMAL,HIGH,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,NORMAL,NORMAL,False
False,False,HIGH,HIGH,HIGH,True,HIGH,NORMAL,NORMAL,LOW,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,True,LOW,LOW,LOW,False,LOW,HIGH,LOW,LOW,True
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,HIGH,HIGH,False
False,False,NORMAL,LOW,NORMAL,False,NORMAL,NORMAL,LOW,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,NORMAL,LOW,False
True,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,LOW,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
True,False,HIGH,HIGH,HIGH,False,HIGH,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,NORMAL,HIGH,False
False,False,LOW,HIGH,LOW,False,LOW,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,True,LOW,LOW,LOW,False,LOW,HIGH,LOW,LOW,True
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,NORMAL,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,NORMAL,False
False,False,NORMAL,LOW,NORMAL,False,NORMAL,LOW,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,True,LOW,NORMAL,LOW,False,LOW,HIGH,LOW,NORMAL,True
True,False,NORMAL,HIGH,LOW,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,NORMAL,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,NORMAL,NORMAL,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,HIGH,HIGH,HIGH,False,NORMAL,LOW,NORMAL,NORMAL,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,True,LOW,NORMAL,LOW,False,LOW,HIGH,LOW,HIGH,True
False,False,NORMAL,HIGH,LOW,False,LOW,NORMAL,NORMAL,HIGH,False
False,False,NORMAL,NORMAL,LOW,False,NORMAL,HIGH,NORMAL,LOW,False
True,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,LOW,False
True,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,NORMAL,LOW,False
False,True,LOW,NORMAL,LOW,False,LOW,HIGH,NORMAL,HIGH,True
True,False,LOW,HIGH,LOW,False,LOW,HIGH,NORMAL,NORMAL,False
False,False,HIGH,LOW,HIGH,False,NORMAL,NORMAL,LOW,LOW,False
False,False,HIGH,LOW,HIGH,False,NORMAL,HIGH,NORMAL,NORMAL,False
False,False,HIGH,LOW,HIGH,False,NORMAL,HIGH,LOW,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,LOW,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,True,LOW,LOW,LOW,False,LOW,LOW,LOW,NORMAL,True
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,HIGH,LOW,HIGH,False,HIGH,HIGH,LOW,LOW,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,LOW,HIGH,NORMAL,False
False,False,HIGH,HIGH,HIGH,False,HIGH,NORMAL,NORMAL,LOW,False
False,True,LOW,LOW,LOW,False,LOW,HIGH,LOW,LOW,True
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,NORMAL,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,HIGH,LOW,HIGH,False,NORMAL,NORMAL,LOW,NORMAL,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,True,LOW,NORMAL,LOW,False,LOW,ZERO,LOW,LOW,True
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,NORMAL,False
False,False,HIGH,LOW,HIGH,False,HIGH,NORMAL,LOW,LOW,False
False,True,LOW,LOW,LOW,False,NORMAL,LOW,LOW,HIGH,True
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,NORMAL,NORMAL,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,NORMAL,False
True,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,HIGH,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,LOW,NORMAL,HIGH,False
False,False,NORMAL,HIGH,LOW,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,LOW,HIGH,LOW,False,LOW,LOW,HIGH,LOW,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,LOW,NORMAL,NORMAL,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
True,False,NORMAL,HIGH,NORMAL,False,HIGH,HIGH,NORMAL,NORMAL,False
False,False,NORMAL,HIGH,NORMAL,False,LOW,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,LOW,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,NORMAL,NORMAL,False
False,False,LOW,HIGH,LOW,False,LOW,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,LOW,False,NORMAL,LOW,NORMAL,LOW,False
True,False,NORMAL,LOW,NORMAL,False,NORMAL,HIGH,LOW,LOW,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,NORMAL,NORMAL,False
False,False,HIGH,LOW,HIGH,False,HIGH,HIGH,LOW,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,LOW,NORMAL,NORMAL,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,HIGH,HIGH,HIGH,False,HIGH,LOW,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,NORMAL,LOW,False
False,False,HIGH,LOW,NORMAL,False,HIGH,HIGH,LOW,LOW,False
False,False,NORMAL,HIGH,NORMAL,True,NORMAL,ZERO,NORMAL,HIGH,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,False,LOW,NORMAL,LOW,False,LOW,HIGH,NORMAL,NORMAL,False
False,False,LOW,HIGH,LOW,False,LOW,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,NORMAL,False
False,False,NORMAL,LOW,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,HIGH,HIGH,HIGH,False,NORMAL,HIGH,NORMAL,HIGH,False
False,True,LOW,LOW,LOW,False,LOW,HIGH,LOW,LOW,False
False,False,HIGH,HIGH,HIGH,False,HIGH,HIGH,NORMAL,LOW,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,LOW,NORMAL,NORMAL,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,HIGH,HIGH,False
False,False,HIGH,NORMAL,HIGH,False,HIGH,LOW,LOW,NORMAL,False
False,False,HIGH,HIGH,HIGH,False,NORMAL,LOW,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,True
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,HIGH,HIGH,False
True,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,LOW,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,False,HIGH,HIGH,HIGH,False,HIGH,HIGH,NORMAL,LOW,False
False,False,HIGH,HIGH,HIGH,False,HIGH,HIGH,NORMAL,LOW,False
False,False,HIGH,LOW,HIGH,False,HIGH,HIGH,LOW,LOW,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,NORMAL,NORMAL,False
False,True,LOW,LOW,NORMAL,False,LOW,LOW,LOW,LOW,True
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,NORMAL,False
False,False,NORMAL,LOW,NORMAL,False,NORMAL,HIGH,LOW,LOW,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,LOW,NORMAL,NORMAL,False
False,False,HIGH,HIGH,HIGH,False,HIGH,HIGH,NORMAL,LOW,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,HIGH,LOW,HIGH,False,HIGH,LOW,LOW,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,NORMAL,HIGH,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,LOW,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,HIGH,LOW,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,LOW,NORMAL,HIGH,False
False,True,LOW,NORMAL,LOW,False,LOW,HIGH,LOW,NORMAL,True
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,NORMAL,NORMAL,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,NORMAL,NORMAL,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,False,HIGH,LOW,HIGH,False,HIGH,HIGH,LOW,NORMAL,False
False,False,HIGH,NORMAL,HIGH,False,LOW,HIGH,LOW,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,LOW,HIGH,NORMAL,HIGH,False
True,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
True,True,LOW,NORMAL,LOW,False,LOW,LOW,LOW,LOW,True
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
True,False,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,HIGH,HIGH,False
False,False,HIGH,LOW,HIGH,False,NORMAL,NORMAL,LOW,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,HIGH,LOW,False
False,False,HIGH,LOW,HIGH,False,NORMAL,LOW,LOW,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,HIGH,HIGH,False
True,False,NORMAL,HIGH,NORMAL,True,NORMAL,ZERO,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,True,LOW,LOW,LOW,False,LOW,NORMAL,LOW,LOW,True
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,HIGH,HIGH,HIGH,False,NORMAL,LOW,NORMAL,HIGH,False
True,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,ZERO,NORMAL,NORMAL,False
False,False,HIGH,LOW,HIGH,False,NORMAL,LOW,LOW,LOW,False
False,False,LOW,HIGH,LOW,False,LOW,HIGH,NORMAL,NORMAL,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
True,False,NORMAL,NORMAL,NORMAL,False,HIGH,LOW,NORMAL,NORMAL,False
True,False,NORMAL,NORMAL,NORMAL,False,NORMAL,LOW,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,NORMAL,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,HIGH,HIGH,HIGH,False,NORMAL,HIGH,NORMAL,LOW,False
False,True,LOW,LOW,LOW,False,LOW,NORMAL,LOW,NORMAL,True
False,False,NORMAL,HIGH,LOW,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,NORMAL,False
True,False,NORMAL,LOW,NORMAL,False,NORMAL,HIGH,LOW,NORMAL,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,NORMAL,False
True,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,HIGH,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,NORMAL,False
True,False,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,NORMAL,LOW,False
False,False,HIGH,HIGH,HIGH,False,HIGH,HIGH,NORMAL,NORMAL,False
False,False,NORMAL,LOW,NORMAL,False,NORMAL,LOW,LOW,NORMAL,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,NORMAL,HIGH,False
True,False,NORMAL,HIGH,NORMAL,False,LOW,LOW,NORMAL,HIGH,False
False,False,HIGH,HIGH,HIGH,False,HIGH,NORMAL,NORMAL,LOW,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,NORMAL,LOW,False
False,False,HIGH,HIGH,HIGH,False,HIGH,HIGH,NORMAL,LOW,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,NORMAL,NORMAL,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,NORMAL,HIGH,False
False,False,NORMAL,HIGH,LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,False
False,False,HIGH,HIGH,HIGH,False,HIGH,NORMAL,HIGH,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,LOW,False,NORMAL,NORMAL,NORMAL,HIGH,False
True,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,HIGH,LOW,False
False,False,HIGH,LOW,HIGH,False,HIGH,NORMAL,LOW,LOW,False
False,False,HIGH,LOW,HIGH,False,HIGH,NORMAL,LOW,LOW,True
True,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,True,LOW,LOW,LOW,False,LOW,NORMAL,LOW,NORMAL,False
False,False,HIGH,NORMAL,NORMAL,False,HIGH,LOW,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,NORMAL,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,HIGH,NORMAL,HIGH,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,True,LOW,NORMAL,LOW,False,LOW,HIGH,LOW,HIGH,True
False,True,LOW,LOW,LOW,False,LOW,NORMAL,LOW,LOW,True
False,False,HIGH,HIGH,HIGH,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,LOW,NORMAL,False,NORMAL,HIGH,LOW,LOW,False
True,False,HIGH,HIGH,HIGH,False,HIGH,LOW,NORMAL,LOW,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,NORMAL,NORMAL,False
False,False,NORMAL,HIGH,NORMAL,True,NORMAL,LOW,NORMAL,HIGH,False
False,True,LOW,LOW,LOW,False,LOW,HIGH,LOW,LOW,True
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,HIGH,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,True,LOW,LOW,LOW,False,LOW,HIGH,LOW,LOW,True
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,HIGH,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,HIGH,HIGH,HIGH,False,HIGH,HIGH,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,True,LOW,LOW,LOW,False,LOW,HIGH,LOW,LOW,True
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,LOW,HIGH,NORMAL,NORMAL,False
False,True,LOW,LOW,LOW,False,LOW,HIGH,LOW,LOW,True
False,False,HIGH,HIGH,HIGH,False,HIGH,NORMAL,NORMAL,LOW,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,False
True,False,NORMAL,HIGH,LOW,False,NORMAL,LOW,NORMAL,HIGH,False
True,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,HIGH,HIGH,False
False,False,NORMAL,HIGH,NORMAL,True,NORMAL,HIGH,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,NORMAL,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,HIGH,HIGH,False
False,False,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,HIGH,False
False,True,LOW,LOW,NORMAL,False,LOW,HIGH,LOW,LOW,True
False,False,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,NORMAL,LOW,False
False,True,LOW,LOW,LOW,False,LOW,LOW,LOW,LOW,True
False,False,NORMAL,NORMAL,HIGH,False,NORMAL,HIGH,NORMAL,NORMAL,False
True,False,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,NORMAL,HIGH,False
False,False,HIGH,HIGH,HIGH,False,NORMAL,HIGH,NORMAL,HIGH,False
False,False,HIGH,HIGH,HIGH,False,NORMAL,HIGH,NORMAL,LOW,False
