EXPCO2,VENTALV,TPR,VENTLUNG,ARTCO2,CATECHOL
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,ZERO,HIGH,ZERO,HIGH,NORMAL
LOW,HIGH,HIGH,LOW,LOW,HIGH
LOW,LOW,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
NORMAL,ZERO,NORMAL,LOW,HIGH,HIGH
HIGH,LOW,LOW,HIGH,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,NORMAL
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,LOW,LOW,LOW,HIGH
NORMAL,LOW,NORMAL,LOW,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
ZERO,HIGH,LOW,LOW,NORMAL,HIGH
ZERO,HIGH,NORMAL,LOW,NORMAL,HIGH
LOW,NORMAL,NORMAL,ZERO,NORMAL,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,LOW,LOW,LOW,HIGH
LOW,HIGH,LOW,LOW,LOW,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,NORMAL,NORMAL,ZERO,NORMAL,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,NORMAL,NORMAL,ZERO,NORMAL,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
NORMAL,LOW,LOW,LOW,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
ZERO,HIGH,HIGH,LOW,LOW,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,LOW,HIGH,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,HIGH,HIGH,LOW,LOW,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,LOW,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
ZERO,HIGH,HIGH,LOW,NORMAL,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
NORMAL,ZERO,LOW,LOW,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,NORMAL
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,LOW,NORMAL,LOW,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
NORMAL,LOW,HIGH,LOW,HIGH,HIGH
LOW,NORMAL,HIGH,ZERO,NORMAL,NORMAL
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,HIGH,LOW,LOW,LOW,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
NORMAL,LOW,HIGH,LOW,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
NORMAL,LOW,NORMAL,LOW,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
ZERO,ZERO,NORMAL,ZERO,LOW,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,ZERO,NORMAL,LOW,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,LOW,LOW,LOW,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,LOW,LOW,LOW,NORMAL
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,LOW,LOW,LOW,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,LOW,LOW,LOW,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,HIGH,LOW,LOW,LOW,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,LOW,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,NORMAL,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,HIGH,LOW,LOW,LOW,HIGH
NORMAL,LOW,NORMAL,LOW,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
NORMAL,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
NORMAL,LOW,LOW,LOW,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,ZERO,LOW,ZERO,HIGH,HIGH
HIGH,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,NORMAL,HIGH,ZERO,NORMAL,NORMAL
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,LOW,NORMAL,HIGH,HIGH,HIGH
LOW,HIGH,LOW,LOW,LOW,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,NORMAL,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,ZERO,LOW,LOW,HIGH,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,LOW,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,HIGH,LOW,LOW,LOW,NORMAL
LOW,HIGH,LOW,LOW,LOW,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,LOW,NORMAL,HIGH,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,NORMAL,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,NORMAL,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
NORMAL,ZERO,NORMAL,ZERO,HIGH,NORMAL
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,ZERO,HIGH,ZERO,HIGH,NORMAL
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,NORMAL,HIGH,ZERO,NORMAL,NORMAL
LOW,HIGH,LOW,LOW,LOW,HIGH
LOW,NORMAL,LOW,ZERO,NORMAL,HIGH
NORMAL,LOW,NORMAL,LOW,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
HIGH,LOW,HIGH,HIGH,HIGH,HIGH
LOW,NORMAL,HIGH,ZERO,NORMAL,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
NORMAL,LOW,NORMAL,LOW,HIGH,HIGH
NORMAL,ZERO,LOW,LOW,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
ZERO,HIGH,HIGH,LOW,LOW,NORMAL
NORMAL,ZERO,HIGH,LOW,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
HIGH,LOW,NORMAL,HIGH,HIGH,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
ZERO,ZERO,HIGH,ZERO,HIGH,HIGH
ZERO,HIGH,NORMAL,ZERO,LOW,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,HIGH,LOW,LOW,LOW,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,NORMAL,LOW,NORMAL,NORMAL,HIGH
LOW,NORMAL,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
NORMAL,NORMAL,NORMAL,ZERO,NORMAL,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,HIGH,HIGH,NORMAL,LOW,NORMAL
LOW,ZERO,LOW,ZERO,HIGH,HIGH
NORMAL,LOW,LOW,LOW,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
NORMAL,ZERO,LOW,LOW,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,LOW,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,LOW,LOW,LOW,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
NORMAL,LOW,NORMAL,LOW,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
HIGH,LOW,NORMAL,HIGH,HIGH,HIGH
LOW,LOW,LOW,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,LOW,NORMAL,HIGH,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
HIGH,LOW,HIGH,HIGH,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
NORMAL,LOW,NORMAL,LOW,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,NORMAL
LOW,ZERO,HIGH,ZERO,HIGH,NORMAL
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
ZERO,ZERO,NORMAL,NORMAL,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,LOW,NORMAL,HIGH,HIGH,HIGH
ZERO,LOW,NORMAL,ZERO,LOW,NORMAL
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,ZERO,HIGH,ZERO,HIGH,NORMAL
LOW,LOW,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,HIGH,LOW,LOW,LOW,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,NORMAL,NORMAL,ZERO,NORMAL,NORMAL
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,LOW,LOW,LOW,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
ZERO,NORMAL,NORMAL,ZERO,LOW,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
ZERO,HIGH,HIGH,ZERO,LOW,NORMAL
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,NORMAL,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,HIGH,LOW,LOW,LOW,HIGH
HIGH,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
HIGH,LOW,HIGH,HIGH,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,NORMAL,HIGH,NORMAL,NORMAL,HIGH
LOW,ZERO,NORMAL,ZERO,NORMAL,HIGH
NORMAL,ZERO,LOW,ZERO,HIGH,HIGH
LOW,NORMAL,HIGH,ZERO,NORMAL,NORMAL
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
NORMAL,LOW,NORMAL,LOW,HIGH,HIGH
LOW,HIGH,LOW,LOW,LOW,HIGH
NORMAL,NORMAL,HIGH,NORMAL,NORMAL,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
HIGH,LOW,LOW,HIGH,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,LOW,HIGH,LOW,LOW,NORMAL
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,HIGH,LOW,LOW,LOW,HIGH
NORMAL,ZERO,LOW,LOW,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,HIGH,LOW,LOW,LOW,HIGH
HIGH,LOW,HIGH,HIGH,HIGH,HIGH
HIGH,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
ZERO,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,LOW,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
HIGH,LOW,LOW,HIGH,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,LOW,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
NORMAL,HIGH,LOW,LOW,LOW,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,NORMAL,NORMAL,ZERO,NORMAL,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
NORMAL,ZERO,LOW,LOW,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
NORMAL,LOW,HIGH,LOW,HIGH,HIGH
ZERO,HIGH,NORMAL,LOW,NORMAL,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,LOW,LOW,LOW,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
ZERO,NORMAL,LOW,NORMAL,HIGH,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH
NORMAL,LOW,LOW,LOW,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
HIGH,LOW,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,HIGH,ZERO,NORMAL,NORMAL
LOW,LOW,LOW,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,LOW,LOW,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,HIGH,NORMAL,LOW,LOW,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
HIGH,LOW,HIGH,HIGH,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
LOW,HIGH,NORMAL,LOW,LOW,HIGH
NORMAL,LOW,NORMAL,LOW,HIGH,NORMAL
LOW,HIGH,HIGH,LOW,LOW,NORMAL
LOW,ZERO,LOW,ZERO,HIGH,HIGH
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
ZERO,HIGH,HIGH,ZERO,LOW,NORMAL
LOW,ZERO,HIGH,ZERO,HIGH,NORMAL
LOW,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,LOW,ZERO,HIGH,HIGH
